Nachricht an ('192.168.2.122', 61377) von ('192.168.2.122', 61376) ('192.168.2.122', 61376): 0
Nachricht an ('192.168.2.122', 61376) von ('192.168.2.122', 61377) ('192.168.2.122', 61377): 0
Nachricht an ('192.168.2.122', 61376) von ('192.168.2.122', 61379) ('192.168.2.122', 61379): 0
Nachricht an ('192.168.2.122', 61376) von ('192.168.2.122', 61378) ('192.168.2.122', 61378): 0
Nachricht an ('192.168.2.122', 61378) von ('192.168.2.122', 61376) ('192.168.2.122', 61376): 0
Nachricht an ('192.168.2.122', 61377) von ('192.168.2.122', 61378) ('192.168.2.122', 61378): 0
Nachricht an ('192.168.2.122', 61378) von ('192.168.2.122', 61377) ('192.168.2.122', 61377): 0
Nachricht an ('192.168.2.122', 61377) von ('192.168.2.122', 61379) ('192.168.2.122', 61379): 0
Nachricht an ('192.168.2.122', 61379) von ('192.168.2.122', 61376) ('192.168.2.122', 61376): 0
Nachricht an ('192.168.2.122', 61379) von ('192.168.2.122', 61378) ('192.168.2.122', 61378): 0
Nachricht an ('192.168.2.122', 61379) von ('192.168.2.122', 61377) ('192.168.2.122', 61377): 0
Nachricht an ('192.168.2.122', 61378) von ('192.168.2.122', 61379) ('192.168.2.122', 61379): 0
Nachricht an ('192.168.2.122', 61377) von ('192.168.2.122', 61376) ('192.168.2.122', 61376): 1
Nachricht an ('192.168.2.122', 61376) von ('192.168.2.122', 61378) ('192.168.2.122', 61378): 1
Nachricht an ('192.168.2.122', 61376) von ('192.168.2.122', 61379) ('192.168.2.122', 61379): 1
Nachricht an ('192.168.2.122', 61378) von ('192.168.2.122', 61376) ('192.168.2.122', 61376): 1
Nachricht an ('192.168.2.122', 61376) von ('192.168.2.122', 61377) ('192.168.2.122', 61377): 1
Nachricht an ('192.168.2.122', 61377) von ('192.168.2.122', 61378) ('192.168.2.122', 61378): 1
Nachricht an ('192.168.2.122', 61377) von ('192.168.2.122', 61379) ('192.168.2.122', 61379): 1
Nachricht an ('192.168.2.122', 61378) von ('192.168.2.122', 61377) ('192.168.2.122', 61377): 1
Nachricht an ('192.168.2.122', 61379) von ('192.168.2.122', 61378) ('192.168.2.122', 61378): 1
