2024-10-22 10:17:34,009 - INFO - Gefundene lokale IP-Adresse: 192.168.2.122
2024-10-22 10:17:34,010 - INFO - Gefundene lokale IP-Adresse: 192.168.2.122
2024-10-22 10:17:34,010 - INFO - Broadcast Nachricht gesendet: 192.168.2.122:50000
2024-10-22 10:17:34,010 - INFO - Server läuft auf 192.168.2.122:50000 und wartet auf Verbindungen...
2024-10-22 10:17:39,015 - INFO - Broadcast Nachricht gesendet: 192.168.2.122:50000
2024-10-22 10:17:39,019 - INFO - Verbindung hergestellt mit ('192.168.2.122', 56494)
2024-10-22 10:17:39,019 - INFO - Thread für Verbindung mit ('192.168.2.122', 56494) gestartet.
2024-10-22 10:17:39,019 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 0
2024-10-22 10:17:39,019 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 0
2024-10-22 10:17:39,074 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 1
2024-10-22 10:17:39,119 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 1
2024-10-22 10:17:39,130 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 2
2024-10-22 10:17:39,184 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 3
2024-10-22 10:17:39,222 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 2
2024-10-22 10:17:39,235 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 4
2024-10-22 10:17:39,286 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 5
2024-10-22 10:17:39,322 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 3
2024-10-22 10:17:39,339 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 6
2024-10-22 10:17:39,391 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 7
2024-10-22 10:17:39,427 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 4
2024-10-22 10:17:39,445 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 8
2024-10-22 10:17:39,497 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 9
2024-10-22 10:17:39,530 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 5
2024-10-22 10:17:39,552 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 10
2024-10-22 10:17:39,607 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 11
2024-10-22 10:17:39,633 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 6
2024-10-22 10:17:39,661 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 12
2024-10-22 10:17:39,713 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 13
2024-10-22 10:17:39,736 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 7
2024-10-22 10:17:39,764 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 14
2024-10-22 10:17:39,817 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 15
2024-10-22 10:17:39,838 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 8
2024-10-22 10:17:39,868 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 16
2024-10-22 10:17:39,919 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 17
2024-10-22 10:17:39,940 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 9
2024-10-22 10:17:39,971 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 18
2024-10-22 10:17:40,027 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 19
2024-10-22 10:17:40,045 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 10
2024-10-22 10:17:40,081 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 20
2024-10-22 10:17:40,136 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 21
2024-10-22 10:17:40,149 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 11
2024-10-22 10:17:40,191 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 22
2024-10-22 10:17:40,246 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 23
2024-10-22 10:17:40,251 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 12
2024-10-22 10:17:40,299 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 24
2024-10-22 10:17:40,353 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 25
2024-10-22 10:17:40,354 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 13
2024-10-22 10:17:40,409 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 26
2024-10-22 10:17:40,455 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 14
