2024-10-15 20:01:02,059 - INFO - Gefundene lokale IP-Adresse: 192.168.2.122
2024-10-15 20:01:02,061 - INFO - Gefundene lokale IP-Adresse: 192.168.2.122
2024-10-15 20:01:02,061 - INFO - Server läuft auf 192.168.2.122:50000 und wartet auf Verbindungen...
2024-10-15 20:01:02,061 - INFO - Broadcast Nachricht gesendet: 192.168.2.122:50000
2024-10-15 20:01:07,063 - INFO - Broadcast Nachricht gesendet: 192.168.2.122:50000
2024-10-15 20:01:07,114 - INFO - Verbindung hergestellt mit ('192.168.2.168', 40394)
2024-10-15 20:01:07,114 - INFO - Thread für Verbindung mit ('192.168.2.168', 40394) gestartet.
2024-10-15 20:01:07,115 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 0
2024-10-15 20:01:07,121 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 0
2024-10-15 20:01:07,126 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 1
2024-10-15 20:01:07,138 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 2
2024-10-15 20:01:07,151 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 3
2024-10-15 20:01:07,164 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 4
2024-10-15 20:01:07,174 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 5
2024-10-15 20:01:07,185 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 6
2024-10-15 20:01:07,196 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 7
2024-10-15 20:01:07,206 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 8
2024-10-15 20:01:07,217 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 9
2024-10-15 20:01:07,228 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 10
2024-10-15 20:01:07,230 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 1
2024-10-15 20:01:07,238 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 11
2024-10-15 20:01:07,251 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 12
