2024-11-04 20:01:32,637 - INFO - Gefundene lokale IP-Adresse: 192.168.2.122
2024-11-04 20:01:32,637 - INFO - Server läuft auf 192.168.2.122:50000 und wartet auf Verbindungen...
2024-11-04 20:01:32,637 - INFO - Broadcast Nachricht gesendet: 192.168.2.122:50000
2024-11-04 20:01:37,642 - INFO - Broadcast Nachricht gesendet: 192.168.2.122:50000
2024-11-04 20:01:37,646 - INFO - Neue Verbindung von ('192.168.2.122', 58483)
2024-11-04 20:01:37,647 - INFO - Thread für Verbindung mit ('192.168.2.122', 58483) gestartet.
2024-11-04 20:01:37,647 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 0
2024-11-04 20:01:37,658 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 1
2024-11-04 20:01:37,671 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 2
2024-11-04 20:01:37,684 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 3
2024-11-04 20:01:37,694 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 4
2024-11-04 20:01:37,707 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 5
2024-11-04 20:01:37,719 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 6
2024-11-04 20:01:37,731 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 7
2024-11-04 20:01:37,743 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 8
2024-11-04 20:01:37,753 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 9
2024-11-04 20:01:37,765 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 10
2024-11-04 20:01:37,777 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 11
2024-11-04 20:01:37,790 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 12
2024-11-04 20:01:37,802 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 13
2024-11-04 20:01:37,813 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 14
2024-11-04 20:01:37,823 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 15
2024-11-04 20:01:37,834 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 16
2024-11-04 20:01:37,845 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 17
2024-11-04 20:01:37,856 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 18
2024-11-04 20:01:37,866 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 19
2024-11-04 20:01:37,877 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 20
2024-11-04 20:01:37,887 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 21
2024-11-04 20:01:37,897 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 22
2024-11-04 20:01:37,910 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 23
2024-11-04 20:01:37,922 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 24
2024-11-04 20:01:37,932 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 25
2024-11-04 20:01:37,944 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 26
2024-11-04 20:01:37,957 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 27
2024-11-04 20:01:37,968 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 28
2024-11-04 20:01:37,980 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 29
2024-11-04 20:01:37,993 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 30
2024-11-04 20:01:38,005 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 31
2024-11-04 20:01:38,016 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 32
2024-11-04 20:01:38,027 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 33
2024-11-04 20:01:38,039 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 34
2024-11-04 20:01:38,052 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 35
2024-11-04 20:01:38,063 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 36
2024-11-04 20:01:38,074 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 37
2024-11-04 20:01:38,085 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 38
2024-11-04 20:01:38,096 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 39
2024-11-04 20:01:38,108 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 40
2024-11-04 20:01:38,120 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 41
2024-11-04 20:01:38,130 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 42
2024-11-04 20:01:38,142 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 43
2024-11-04 20:01:38,154 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 44
2024-11-04 20:01:38,166 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 45
2024-11-04 20:01:38,176 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 46
2024-11-04 20:01:38,189 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 47
2024-11-04 20:01:38,199 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 48
2024-11-04 20:01:38,211 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 49
2024-11-04 20:01:38,224 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 50
2024-11-04 20:01:38,237 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 51
2024-11-04 20:01:38,249 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 52
2024-11-04 20:01:38,260 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 53
2024-11-04 20:01:38,272 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 54
2024-11-04 20:01:38,283 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 55
2024-11-04 20:01:38,293 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 56
2024-11-04 20:01:38,305 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 57
2024-11-04 20:01:38,316 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 58
2024-11-04 20:01:38,327 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 59
2024-11-04 20:01:38,337 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 60
2024-11-04 20:01:38,348 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 61
2024-11-04 20:01:38,359 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 62
2024-11-04 20:01:38,372 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 63
2024-11-04 20:01:38,383 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 64
2024-11-04 20:01:38,393 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 65
2024-11-04 20:01:38,405 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 66
2024-11-04 20:01:38,416 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 67
2024-11-04 20:01:38,426 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 68
2024-11-04 20:01:38,436 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 69
2024-11-04 20:01:38,448 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 70
2024-11-04 20:01:38,460 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 71
2024-11-04 20:01:38,473 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 72
2024-11-04 20:01:38,484 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 73
2024-11-04 20:01:38,496 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 74
2024-11-04 20:01:38,506 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 75
2024-11-04 20:01:38,516 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 76
2024-11-04 20:01:38,527 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 77
2024-11-04 20:01:38,538 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 78
2024-11-04 20:01:38,549 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 79
2024-11-04 20:01:38,560 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 80
2024-11-04 20:01:38,570 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 81
2024-11-04 20:01:38,582 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 82
2024-11-04 20:01:38,593 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 83
2024-11-04 20:01:38,603 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 84
2024-11-04 20:01:38,614 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 85
2024-11-04 20:01:38,626 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 86
2024-11-04 20:01:38,639 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 87
2024-11-04 20:01:38,650 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 88
2024-11-04 20:01:38,661 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 89
2024-11-04 20:01:38,672 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 90
2024-11-04 20:01:38,684 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 91
2024-11-04 20:01:38,695 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 92
2024-11-04 20:01:38,705 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 93
2024-11-04 20:01:38,717 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 94
2024-11-04 20:01:38,729 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 95
2024-11-04 20:01:38,740 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 96
2024-11-04 20:01:38,751 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 97
2024-11-04 20:01:38,762 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 98
2024-11-04 20:01:38,772 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 99
2024-11-04 20:01:38,783 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 100
2024-11-04 20:01:38,793 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 101
2024-11-04 20:01:38,804 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 102
2024-11-04 20:01:38,814 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 103
2024-11-04 20:01:38,826 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 104
2024-11-04 20:01:38,837 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 105
2024-11-04 20:01:38,848 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 106
2024-11-04 20:01:38,860 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 107
2024-11-04 20:01:38,871 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 108
2024-11-04 20:01:38,883 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 109
2024-11-04 20:01:38,893 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 110
2024-11-04 20:01:38,904 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 111
2024-11-04 20:01:38,915 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 112
2024-11-04 20:01:38,927 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 113
2024-11-04 20:01:38,937 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 114
2024-11-04 20:01:38,948 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 115
2024-11-04 20:01:38,960 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 116
2024-11-04 20:01:38,970 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 117
2024-11-04 20:01:38,981 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 118
2024-11-04 20:01:38,993 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 119
2024-11-04 20:01:39,003 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 120
2024-11-04 20:01:39,013 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 121
2024-11-04 20:01:39,024 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 122
2024-11-04 20:01:39,034 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 123
2024-11-04 20:01:39,045 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 124
2024-11-04 20:01:39,057 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 125
2024-11-04 20:01:39,070 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 126
2024-11-04 20:01:39,082 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 127
2024-11-04 20:01:39,093 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 128
2024-11-04 20:01:39,106 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 129
2024-11-04 20:01:39,117 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 130
2024-11-04 20:01:39,128 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 131
2024-11-04 20:01:39,139 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 132
2024-11-04 20:01:39,149 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 133
2024-11-04 20:01:39,161 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 134
2024-11-04 20:01:39,171 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 135
2024-11-04 20:01:39,183 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 136
2024-11-04 20:01:39,194 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 137
2024-11-04 20:01:39,204 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 138
2024-11-04 20:01:39,216 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 139
2024-11-04 20:01:39,228 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 140
2024-11-04 20:01:39,240 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 141
2024-11-04 20:01:39,250 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 142
2024-11-04 20:01:39,261 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 143
2024-11-04 20:01:39,273 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 144
2024-11-04 20:01:39,286 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 145
2024-11-04 20:01:39,296 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 146
2024-11-04 20:01:39,309 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 147
2024-11-04 20:01:39,319 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 148
2024-11-04 20:01:39,331 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 149
2024-11-04 20:01:39,343 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 150
2024-11-04 20:01:39,355 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 151
2024-11-04 20:01:39,366 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 152
2024-11-04 20:01:39,377 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 153
